NRDB编号,循环,卡包,序号,英文名称,名称,文本,风味文字,阵营,派系,类型,子类型,是否独有,构筑张数限制,推进需求,议案分数,基础中转,牌组最小张数,牌组影响力上限,费用,强度,内存费用,销毁费用,影响力费用,卡图作者
26011,余烬,坍落,11,Always Have a Backup Plan,有备无患,潜袭任意一台服务器。当本次潜袭结束时，如果潜袭失败，你可以再次潜袭该服务器，忽略所有的额外费用。在第二次潜袭中，每当你遭遇在第一次潜袭中遭遇的最后一层防火墙时，略过之。,"“她在险境中出奇地可靠，每个人都这么说。”
—阿兹·麦卡弗瑞",潜袭者,逆法者,事件,潜袭,,3,,,,,,2,,,,3,Olie Boldador
26012,余烬,坍落,12,Blueberry!™ Diesel,蓝莓味迪燃,查看你的存储栈顶端的2张卡牌。你可以将其中的1张加入你的存储栈底端。抽2张卡牌。,蓝焰最为炙热！,潜袭者,逆法者,事件,,,3,,,,,,0,,,,2,Patrick Burk
26013,余烬,坍落,13,Flip Switch,翻转开关,"本硬件仅能在你的回合内使用。
[trash]<strong>:</strong> 退出潜袭。
[trash]<strong>:</strong> 移除1枚锁定标记。
[interrupt] → [trash]<strong>:</strong> 将一次追踪的基础追踪强度降低至0。",BMI开关让潜袭者无需离线即可登出。允许你喘口气……随时随地。,潜袭者,逆法者,硬件,,,3,,,,,,1,,,,1,Krembler
26014,余烬,坍落,14,Lucky Charm,幸运护符,[interrupt] → <strong>将本硬件移出游戏:</strong> 防止一次公司卡牌能力导致的终止潜袭。只有你本回合已对总部进行过成功的潜袭时，才能使用本能力。,想知道投硬币稳赢的诀窍么？用两面都是正面的。,潜袭者,逆法者,硬件,芯片,是,3,,,,,,1,,,,2,Elizaveta Sokolova
26015,余烬,坍落,15,Masterwork (v37),旷世杰作(v37),"+1[mu]。
每回合你第一次安装一个硬件时，抽1张卡牌。
每当一次潜袭开始时，你可以从你的操控器安装1个硬件，其安装费用加1[credit]。
每位玩家限制1个<strong>控制台</strong>。","v35：底座喷射器弹簧（新功能）
v36：下调弹簧强度（x5）",潜袭者,逆法者,硬件,控制台,是,3,,,,,,2,,,,4,Olie Boldador
26016,余烬,坍落,16,Bukhgalter,会计师,"对接 → <strong>1[credit]:</strong> 破解1条<strong>警报</strong>子进程。
<strong>1[credit]:</strong> 强度+1。
每回合你第一次仅使用本程序破解所遭遇防火墙上的所有子进程时，获得2[credit]。","“好好干活。拿好报酬。莫得感情。”
—“鸬鹚”·博奇金",潜袭者,逆法者,程序,破解器 - 断路模块,,3,,,,,,3,1,1,,4,Iain Fairclough
26017,余烬,坍落,17,“Baklan” Bochkin,“鸬鹚”·博奇金,"每次潜袭你第一次遭遇一层防火墙时，放置1枚能量指示物到本资源上。
[trash]<strong>，X枚所附载的能量指示物:</strong> 如果当前遭遇的防火墙的强度小于或等于X，关闭该防火墙。拿取1枚锁定标记。","“啧，让他们扯去吧。猫知道它吃了谁的肉。”
—“鸬鹚”·博奇金",潜袭者,逆法者,资源,人脉,是,3,,,,,,2,,,,3,Janet Bruesselbach
26018,余烬,坍落,18,The Class Act,一流选手,"当你安装本资源的回合的弃牌阶段结束时，抽4张卡牌。
[interrupt] → 每回合你第一次将要抽牌时，查看存储栈顶端的X张卡牌。将其中的1张加入你的存储栈底端。X等于你即将抽牌的数量加1。",“……但我无可比拟。”,潜袭者,逆法者,资源,人脉 - 豪华,是,3,,,,,,4,,,,5,Wyn Lacabra
26019,余烬,坍落,19,Lat: Ethical Freelancer,拉特: 正派自由职业者,当你的弃牌阶段结束时，如果你的操控器中的卡牌数量与公司总部中的卡牌数量相同，你可以抽1张卡牌。,让我们搞快点，然后回我那儿喝棕榈酒。,潜袭者,塑造者,潜袭者特性,原生人,,1,,,1,45,15,,,,,,Luminita Pham
26020,余烬,坍落,20,In the Groove,最佳状态,"仅能在你的第一个[click]打出。
本回合的剩余时间内，每当你安装一张印刷费用大于或等于1[credit]的卡牌时，抽1张卡牌或获得1[credit]。",你知道我这周少拿了多少外卖吗？,潜袭者,塑造者,事件,优先,,3,,,,,,0,,,,4,Olie Boldador
26021,余烬,坍落,21,Khusyuk,庄严肃穆,潜袭研发中心。如果成功，选择一个大于0[credit]的安装费用，代替侵入研发中心。公司将研发中心顶端X张卡牌牌面朝上置于一旁，X等于你已安装的卡牌中具有该印刷安装费用的卡牌数量，至多为6。读取1张置于一旁的卡牌。公司将置于一旁的卡牌洗入研发中心。,,潜袭者,塑造者,事件,潜袭,,3,,,,,,3,,,,2,Iain Fairclough
26022,余烬,坍落,22,Spec Work,竞稿,"作为打出本事件的额外费用，销毁1个已安装的程序。
获得4[credit]并抽2张卡牌。","“从来就没有什么多余的程序。那串代码总会有自己的用武之地。如今就连公司都在争夺现成的补丁。”
—拉特",潜袭者,塑造者,事件,工作,,3,,,,,,1,,,,1,Krembler
26023,余烬,坍落,23,Supercorridor,超级走廊,"+2[mu]
你的手牌上限+1。
当你的回合结束时，如果你与公司拥有相同数量的信用点，你可以获得2[credit]。
每位玩家限制1个<strong>控制台</strong>。",网域漫无边际，但是正确的访问端口值得驱车一游。,潜袭者,塑造者,硬件,控制台,是,3,,,,,,4,,,,2,Elizaveta Sokolova
26024,余烬,坍落,24,Gauss,高斯,"当你安装本程序时，其在本回合剩余时间内强度+3。
对接 → <strong>1[credit]:</strong> 破解1条<strong>屏障</strong>子进程。
<strong>2[credit]:</strong> 强度+2。",纸上得来终觉浅，绝知此事要躬行。,潜袭者,塑造者,程序,分解模块 - 破解器,,3,,,,,,2,1,1,,2,Iain Fairclough
26025,余烬,坍落,25,Pelangi,虹彩,"当你安装本程序时，放置2枚病毒指示物到本程序上。
每回合限一次 → <strong>所附载的病毒指示物:</strong> 选择一种防火墙子类型。本次遭遇的剩余时间内，当前正在遭遇的防火墙获得该子类型。",管理员的眼前闪烁着走马灯……,潜袭者,塑造者,程序,病毒,,3,,,,,,1,,1,,3,Iain Fairclough
26026,余烬,坍落,26,Rezeki,粮食,当你的回合开始时，获得1[credit]。,"“我们赖以生存的东西很简单，其中最重要的是心怀感恩。”
—拉特",潜袭者,塑造者,程序,,,3,,,,,,2,,1,,1,"Elwin ""Jakuza"" Rumplmair"
26027,余烬,坍落,27,The Artist,艺术家,"每回合限一次 → [click]<strong>:</strong> 获得2[credit]。
每回合限一次 → [click]<strong>:</strong> 从你的操控器安装1个程序或硬件，其安装费用减1[credit]。",“……那么请让我为君落笔作画。”,潜袭者,塑造者,资源,人脉,是,3,,,,,,4,,,,5,Wyn Lacabra
26028,余烬,坍落,28,Direct Access,单刀直入,"在你结算本事件的期间，双方玩家的特性失去其能力。
潜袭任意一台服务器。当本次潜袭结束时，你可以将本事件洗入你的存储栈。",沿着屋顶的管道一路爬行，直到你抵达那老旧的网络根源。我知道这又脏又累，但是总好过循规蹈矩。,潜袭者,中立潜袭者,事件,潜袭,,3,,,,,,1,,,,1,Olie Boldador
26029,余烬,坍落,29,Rejig,重整,"作为打出本事件的额外费用，将1个已安装的程序或硬件加入你的操控器。
从你的操控器安装1个程序或硬件，其安装费用减X[credit]。X等于你加入操控器的卡牌的印刷安装费用。",我可没说你的飞跃车是拖拉机。我说的是，它<em>像</em>是要被拖走的垃圾。,潜袭者,中立潜袭者,事件,改造,,3,,,,,,0,,,,0,Krembler
26030,余烬,坍落,30,Whistleblower,告密者,每当你进行一次成功的潜袭时，你可以销毁本资源，以选择一个卡牌名称。本次潜袭中你下一次读取具有该名称的议案时，窃取之，忽略所有的费用。(该议案不再视为被读取。),"“公司也是由人组成的，就是一群朝六晚六的普通上班族。应得的真相加上适时的批判，他们自会前来赎罪。”
—拉特",潜袭者,中立潜袭者,资源,人脉,是,3,,,,,,2,,,,1,Olie Boldador
26031,余烬,坍落,31,MirrorMorph: Endless Iteration,幻镜所: 无尽迭代,在你的回合内，若你执行的第一、第二和第三个行动皆不相同，当第三个行动结算完毕时，你可以获得1[credit]或执行另外一个不同的行动，减少支付1[click]。,反射，而不是模仿。,公司,哈斯生化,公司特性,部门,,1,,,,45,15,,,,,,Kira L. Nguyen
26032,余烬,坍落,32,Architect Deployment Test,建筑师部署测试,当你将本议案计分时，查看研发中心顶端的5张卡牌。你可以安装并激活其中的1张，忽略所有的费用。,"“早期的成功应该受到奖赏，这有助于形成以自我驱动和竞争为核心的企业文化。”
—傻瓜都能看懂的企业领导概论",公司,哈斯生化,议案,研究,,3,4,2,,,,,,,,,Krembler
26033,余烬,坍落,33,Calvin B4L3Y,卡尔文B4L3Y,"每回合限一次 → [click]<strong>:</strong> 抽2张卡牌。
当潜袭者销毁本资产时，你可以抽2张卡牌。",该单位在全部三个指令逻辑陷阱悖论中表现出.78阿莫西夫的潜在压力指数。已指令在下一次维修中加入精神诊断。,公司,哈斯生化,资产,生化人,是,3,,,,,,0,,,3,1,Kira L. Nguyen
26034,余烬,坍落,34,Nanoetching Matrix,纳米雕刻矩阵,"每回合限一次 → [click]<strong>:</strong> 获得2[credit]。
当潜袭者销毁本资产时，你可以获得2[credit]。",在纳米机器人切割玻璃的微观尺度下，量子效应使得误差在所难免。这里一个硅原子，那里一个氧原子，不知何处又冒出来一个铒原子。所以啊，生化人也是生来独一无二的。,公司,哈斯生化,资产,工业,,3,,,,,,0,,,3,2,Krembler
26035,余烬,坍落,35,Hagen,哈根,"每有1个已安装的<strong>破解器</strong>，本防火墙的强度-1。
[subroutine] 销毁1个不是<strong>解码模块</strong>、<strong>分解模块</strong>或者<strong>断路模块</strong>的已安装的程序。
[subroutine] 终止本次潜袭。",身经百战的战士见识过所有阴谋诡计，要么去强推，要么被摧毁。,公司,哈斯生化,防火墙,屏障 - 毁灭者,,3,,,,,,4,6,,,3,Krembler
26036,余烬,坍落,36,Fully Operational,满载运行,获得2[credit]或抽2张卡牌。你每有一台根目录中有卡牌且有防火墙保护的远程服务器，便重复一次该进程。,哈斯居然赶在风暴来临前把他们所有未受保护的服务器都进行了加固。他们的生化人先知已经这么先进了么？还是说有人通风报信？,公司,哈斯生化,事务,,,3,,,,,,1,,,,3,Krembler
26037,余烬,坍落,37,Red Level Clearance,红色许可,按任意顺序结算下列中的2项:<ul><li>抽2张卡牌。</li><li>获得2[credit]。</li><li>从总部安装1张非议案卡牌。</li><li>获得[click]。</li></ul>,并非所有的秘密都躺在密库里。,公司,哈斯生化,事务,交易,,3,,,,,,1,,,,2,Krembler
26038,余烬,坍落,38,Cold Site Server,备份服务器,"[click]<strong>:</strong> 放置1枚能量指示物到本升级上。
作为潜袭本服务器的额外费用，每有1枚所附载的能量指示物，潜袭者必须花费[click]与1[credit]。
当你的回合开始时，移除所附载的所有能量指示物。",网络憎恨真空。所有不合条理的间隙都是有人<em>刻意为之</em>。,公司,哈斯生化,升级,设施,,3,,,,,,0,,,3,3,Krembler
26039,余烬,坍落,39,Hyoubu Institute: Absolute Clarity,兵部学会: 通彻明晰,"每回合你第一次展示一张卡牌时，获得1[credit]。
[click]<strong>:</strong> 从操控器随机展示1张卡牌或展示存储栈顶端的卡牌。",刨根究底。,公司,人间会社,公司特性,部门,,1,,,,45,15,,,,,,Emilio Rodríguez
26040,余烬,坍落,40,Project Yagi-Uda,八木宇田计划,"当你将本议案计分时，如果所附载的推进指示物超过3枚，每超过1枚，放置1枚议案指示物到本议案上。
<strong>所附载的议案指示物:</strong> 从总部将1张卡牌与保护当前被攻击服务器或当前被攻击服务器根目录中的一张卡牌互换。潜袭者可以退出潜袭。本能力仅能在潜袭中使用。",,公司,人间会社,议案,研究,,3,3,2,,,,,,,,,Krembler
26041,余烬,坍落,41,Sting!,蜇！,当一位玩家计分或窃取本议案时，造成X点网域伤害。X等于另一位玩家分数区内名称为蜇！的议案的数量加1。,"“‘这是我的天性啊。’蝎子说道。”
—生命伦理与合成道德概念框架，莫泽大学出版社",公司,人间会社,议案,伏击,,3,3,1,,,,,,,,,Krembler
26042,余烬,坍落,42,Public Health Portal,公众健康门户,当你的回合开始时，展示研发中心顶端的卡牌并获得2[credit]。,兵部是保卫我们身心的先驱。,公司,人间会社,资产,设施,,3,,,,,,3,,,2,1,Krembler & Iain Fairclough
26043,余烬,坍落,43,Storgotic Resonator,同族共振,"每回合你第一次销毁一张与潜袭者特性派系相同的卡牌时（不论从什么位置），放置1枚能量指示物到本资产上。
[click]，<strong>所附载的能量指示物:</strong> 造成1点网域伤害。","“记忆是情绪织线的牵引纠缠。只要牵住其中一根，它就会把第二根带出来，连绵不断！”
—莉希亚·次代",公司,人间会社,资产,敌对,是,3,,,,,,2,,,2,2,Krembler
26044,余烬,坍落,44,Saisentan,巅峰,"当潜袭者遭遇本防火墙时，选择一种卡牌类型。本次遭遇的剩余时间内，每当你以本防火墙子进程的网域伤害销毁一张所选类型的卡牌时，造成1点网域伤害。
[subroutine] 造成1点网域伤害。
[subroutine] 造成1点网域伤害。
[subroutine] 造成1点网域伤害。",,公司,人间会社,防火墙,杀伤 - 观察者 - 警报,,3,,,,,,5,2,,,3,Krembler
26045,余烬,坍落,45,Complete Image,侧写完毕,"只有潜袭者拥有3点或更多议案分数且在其上回合进行过成功的潜袭时，才能打出。
在你结算本事务后，结束你的行动阶段。
选择一个卡牌名称，然后造成1点网域伤害。如果你销毁了一张具有所选名称的卡牌，则重复本进程。",,公司,人间会社,事务,灰色行动 - 终止,,3,,,,,,4,,,2,4,Krembler
26046,余烬,坍落,46,Letheia Nisei,莉希亚·次代,每次潜袭中潜袭者第一次接驳本服务器时，进行一次灵能博弈。<em>（双方玩家秘密决定0-2的数值，然后同时宣告并花费所声明数值的[credit]。）</em>如果二者数值不同，你可以销毁本升级。如果你如此做，潜袭者移动到本服务器的最外侧位置。潜袭者可以退出潜袭。,,公司,人间会社,升级,克隆体 - 灵能,是,3,,,,,,1,,,2,3,Diana Simonova (Antheia Vaulor)
26047,余烬,坍落,47,Remastered Edition,复刻版本,"当你将本议案计分时，放置1枚议案指示物到本议案上。
<strong>所附载的议案指示物:</strong> 放置1枚推进指示物到一张已安装的卡牌上。","那些睿智设计师因为青铜低端局的哀声载道把加农炮速攻削弱了。害得我在决赛中连丢四局。
嘛，虽然我还是赢了。",公司,网际传媒,议案,扩张,,3,4,2,,,,,,,,,Deivis Goetten
26048,余烬,坍落,48,Daily Quest,每日任务,"仅能在你的行动阶段中激活。
每当潜袭者对本服务器进行一次成功的潜袭时，潜袭者获得2[credit]。
当你的回合开始时，如果潜袭者在其上回合未对本服务器进行过成功的潜袭，你获得3[credit]。",,公司,网际传媒,资产,,,3,,,,,,1,,,3,3,Krembler
26049,余烬,坍落,49,Tiered Subscription,分级订阅,每回合第一次潜袭开始时，你获得1[credit]。,只需订阅全年份，即可享受尊贵抢先体验版！,公司,网际传媒,资产,广告,,3,,,,,,0,,,3,1,N. Hopkins
26050,余烬,坍落,50,Congratulations!,恭喜！,"当潜袭者通过本防火墙时，你获得1[credit]。
[subroutine] 获得2[credit]。潜袭者获得1[credit]。",你是第十亿名的幸运访客！,公司,网际传媒,防火墙,广告 - 门禁,,3,,,,,,1,3,,,2,NtscapeNavigator
26051,余烬,坍落,51,Loot Box,随机卡池,"[subroutine] 终止本次潜袭，除非潜袭者支付2[credit]。
[subroutine] 展示存储栈顶端的3张卡牌。将其中的1张加入操控器并获得X[credit]，X等于该卡牌的打出或安装费用。潜袭者将存储栈重洗。销毁本防火墙。",尽管在21世纪早期有很多国家试图监管虚拟战利品宝箱，游网却用了一些手段巧妙地避开了这些法律限制，比如公开透明的宝箱爆率……以及一群锲而不舍的游说者。,公司,网际传媒,防火墙,陷阱,,3,,,,,,0,3,,,1,Krembler
26052,余烬,坍落,52,Focus Group,焦点小组,"只有潜袭者在其上回合进行过成功的潜袭时，才能打出。
选择一种卡牌类型，然后展示操控器。选择一个等于或少于被展示卡牌中所选卡牌类型卡牌数量的数值X。你可以支付X[credit]，以放置X枚推进指示物到1张已安装卡牌上。",“这活管饭，对吧？”,公司,网际传媒,事务,,,3,,,,,,3,,,,3,Dimik
26053,余烬,坍落,53,Game Over,游戏结束,"只有潜袭者在其上回合窃取过议案时，才能打出。
选择一种潜袭者卡牌类型。销毁所有已安装的该类型的非<strong>破解器</strong>卡牌。对每张将要因此被销毁的卡牌，潜袭者可以支付3[credit]，以防止其被销毁。
拿取1枚负面声誉标记。",现在一片漆黑。我估计你应该是当了巨魔的甜点。,公司,网际传媒,事务,灰色行动 - 非法,,3,,,,,,4,,,,3,Krembler
26054,余烬,坍落,54,Increased Drop Rates,爆率提升,"在潜袭者从研发中心读取本卡牌的期间，其必须展示之。
当潜袭者读取本升级时，移除1枚负面声誉标记，除非潜袭者拿取1枚锁定标记。",闪橙爆率↑！↑！↑！起充10包即送夺命汤米枪[史诗]与细纹套装[装饰]！,公司,网际传媒,升级,伏击,,3,,,,,,0,,,2,1,N. Hopkins & Krembler
26055,余烬,坍落,55,Divested Trust,撤销信托,每当潜袭者窃取另一个议案时，你可以废除本议案，以获得5[credit]并将被窃取的议案加入总部。,正如文件所示，他们的财务运作已经独立运行了足有八个月。我们同样对如此重大的疏忽感到震惊，并且一定全力配合支持市政厅的调查。,公司,威兰财团,议案,,,3,3,1,,,,,,,,,Krembler
26056,余烬,坍落,56,SDS Drone Deployment,自卫无人机部署,"作为窃取本议案的额外费用，潜袭者必须销毁1个已安装的程序。
当你将本议案计分时，销毁1个已安装的程序。","“无人机是高精度仪器。所造成的意外伤亡都是些没明说的目标。”
—“死钳”·威尔森队长",公司,威兰财团,议案,防卫,,3,5,3,,,,,,,,,Olie Boldador
26057,余烬,坍落,57,Roughneck Repair Squad,钻工修理方队,[click][click][click]<strong>:</strong> 获得6[credit]。你可以移除1枚负面声誉标记。,"“总有某些人间关怀，是安卓人永远无法取代的。”
—米拉·布劳恩",公司,威兰财团,资产,工业,,3,,,,,,0,,,3,1,Olie Boldador
26058,余烬,坍落,58,Afshar,阿夫沙尔,"只要本防火墙保护总部，潜袭者每次遭遇中便不能破解超过1条本防火墙上的印刷子进程。
[subroutine] 潜袭者失去2[credit]。
[subroutine] 终止本次潜袭。",先做出选择。然后波函数坍缩。,公司,威兰财团,防火墙,门禁,,3,,,,,,3,1,,,2,Krembler
26059,余烬,坍落,59,Sandstone,砂岩,"当潜袭者遭遇本防火墙时，放置1枚病毒指示物到本防火墙上。
每有1枚所附载的病毒指示物，本防火墙的强度-1。
[subroutine] 终止本次潜袭。",高效，廉价，耐用。三选其二。,公司,威兰财团,防火墙,屏障,,3,,,,,,3,6,,,2,Krembler
26060,余烬,坍落,60,Trebuchet,投石车,"当你激活本防火墙时，拿取1枚负面声誉标记。
[subroutine] 销毁1张已安装的潜袭者卡牌。
[subroutine] <trace>追踪6</trace> -如果成功，潜袭者不能在本次潜袭的剩余时间内窃取或销毁公司卡牌。",,公司,威兰财团,防火墙,毁灭者 - 非法 - 警报 - 追踪者,,3,,,,,,7,6,,,3,Iain Fairclough
26061,余烬,坍落,61,Secure and Protect,控制与保护,"作为打出本事务的额外费用，花费[click]。
在研发中心搜寻1个防火墙并展示之。<em>（在搜寻研发中心后将其洗混。）</em>安装该防火墙用于保护一台中央服务器，其安装费用减3[credit]。","控制服务器。收容感染。保护数据。
—技术安保准则",公司,威兰财团,事务,双重,,3,,,,,,1,,,,3,Krembler
26062,余烬,坍落,62,Reduced Service,受限服务,"当你激活本升级时，你可以支付最多4[credit]，以放置等量的能量指示物到本升级上。
作为潜袭本服务器的额外费用，每有1枚所附载的能量指示物，潜袭者必须支付2[credit]。
每当潜袭者对中央服务器进行一次成功的潜袭时，移除1枚所附载的能量指示物。",,公司,威兰财团,升级,,是,3,,,,,,0,,,2,3,Krembler
26063,余烬,坍落,63,Vulnerability Audit,疏漏审计,你不能在安装本议案的回合计分本议案。,此次轨道断裂事故与其他危机并无二致。一如既往，管理层的第一反应是先找一位背锅侠。与保住自己的饭碗和主管的面子相比，把食物送到中途站或者把氦-3送往地球的医院都是些无关紧要的琐事。,公司,中立公司,议案,研究,,3,4,3,,,,,,,,1,Iain Fairclough
26064,余烬,坍落,64,CSR Campaign,企业社责运动,当你的回合开始时，你可以抽1张卡牌。,"“有赖于诸位的慷慨解囊，空梯管理局已经在太平洋沿岸上种植了超过八百万棵树。让我们协作起来，一起重现新洛杉矶的往日荣光。”
—伊丽莎白·米尔斯",公司,中立公司,资产,广告,,3,,,,,,2,,,2,0,Elizaveta Sokolova
26065,余烬,坍落,65,Rime,白霜,"在对本服务器的潜袭中，你可以在任意你可以激活非防火墙卡牌的时机激活本防火墙。
所有保护本服务器的防火墙的强度+1。
[subroutine] 潜袭者失去1[credit]。",,公司,中立公司,防火墙,神秘,,3,,,,,,0,0,,,0,N. Hopkins
27001,余烬,起义增强包,1,Mystic Maemi,秘法师鸣蝉,"当你的回合开始或你窃取一个议案时，放置1[credit]到本资源上。
你可以花费所附载的信用点以打出事件。
当你的回合结束时，如果所附载的信用点有3个或更多，你必须从你的操控器中随机销毁1张卡牌或者销毁本资源。",挚友慰藉魂灵。,潜袭者,反叛者,资源,同伴 - 虚拟,是,3,,,,,,1,,,,2,Izzy Pruett
27002,余烬,起义增强包,2,Swift,雨燕,"+1[mu]
每回合你第一次打出一个潜袭事件时，获得[click]。
每位玩家限制1个<strong>控制台</strong>。","“红的那个跑得更快。”
—肯·“快车”·天马",潜袭者,逆法者,硬件,控制台 - 载具,是,3,,,,,,2,,,,2,Kira L. Nguyen
27003,余烬,起义增强包,3,Cybertrooper Talut,塔卢网络军,"+1[link]
每当你安装一个非<strong>智能模块</strong>的<strong>破解器</strong>时，该<strong>破解器</strong>在本回合剩余时间内强度+2。",它很温顺，但是当有5187个它的时候可就不好说了。,潜袭者,塑造者,资源,人脉 - 虚拟,是,3,,,,,,2,,,,2,Owen Sinodov
27004,余烬,起义增强包,4,Megaprix Qualifier,极大奖资格赛,"当你计分本议案时，如果任一玩家的分数区内有另一张名称为极大奖资格赛的卡牌，放置1枚议案指示物到本议案上。
只要本议案上有所附载的议案指示物，其价值便增加1点议案分数。","“不论输赢，全力一搏。重要的是聚光点应该是你，不是什么赛况。”
—谭·“炸药”·阮，托雷多极限赛车车队经理",公司,哈斯生化,议案,,,3,3,1,,,,,,,,,Krembler
27005,余烬,起义增强包,5,La Costa Grid,拉科斯塔网阵,"仅能安装在远程服务器。
当你的回合开始时，放置1枚推进指示物到本服务器内的1张卡牌上。
每个服务器限制1个<strong>区域</strong>。",新洛杉矶有些贫民窟是如此破旧不堪，以至于市政厅就能舰着脸管这成片的能闷死人的克隆体集中营叫“高档化”。,公司,人间会社,升级,区域 - 低劣,,3,,,,,,3,,,4,3,Eirik H. Kiil
27006,余烬,起义增强包,6,Digital Rights Management,数据权管理,"只有潜袭者在其上回合未对总部进行过成功的潜袭时，才能打出。
在研发中心搜寻1个议案并展示之。(在搜寻研发中心后将其洗混。)将该议案加入总部。你可以安装1张卡牌到一台远程服务器内。你在本回合剩余时间内不能将议案计分。",,公司,网际传媒,事务,,,3,,,,,,1,,,,1,Krembler
27007,余烬,起义增强包,7,Cayambe Grid,卡扬贝网阵,"当你的回合开始时，放置1枚推进指示物到1层保护本服务器的防火墙上。
每当潜袭者接驳本服务器时，终止本次潜袭，除非潜袭者支付等同于保护本服务器的已推进的防火墙二倍数量的信用点。
每台服务器限制1个<strong>区域</strong>。",峦峰上的阿普斯神灵将世界与天国相接。,公司,威兰财团,升级,区域,,3,,,,,,3,,,3,3,Kira L. Nguyen
