ID,序号,英文循环名,中文循环名,英文卡包名,中文卡包名,英文名称,中文名称,英文文本,中文文本,英文风味文字,中文风味文字,英文阵营,中文阵营,英文派系,中文派系,英文类型,中文类型,英文子类型,中文子类型,是否独有,构筑张数限制,推进需求,议案分数,基础中转,牌组最小张数,牌组影响力上限,费用,强度,内存费用,销毁费用,影响力费用,卡图作者
01002,2,Core Set,核心系列,Core Set,核心系列,Déjà Vu,既视感,Add 1 card (or up to 2 <strong>virus</strong> cards) from your heap to your grip.,将一张卡牌（或最多两张<strong>病毒</strong>卡牌）从你的堆阵加入你的操控器。,Anything worth doing is worth doing twice.,值得去做的事情值得再做。,Runner,潜袭者,Anarch,反叛者,Event,事件,,,,3,,,,,,2,,,,2,Tim Durning
01003,3,Core Set,核心系列,Core Set,核心系列,Demolition Run,,"Run HQ or R&D.
Access → <strong>0[credit]:</strong> Trash the card you are accessing.",,You ever set something on fire just to watch it burn?,你可曾把东西点燃而只是为了看它燃烧？,Runner,潜袭者,Anarch,反叛者,Event,事件,Run - Sabotage,潜袭 - 破坏,,3,,,,,,2,,,,2,Anna Ignatieva
01004,4,Core Set,核心系列,Core Set,核心系列,Stimhack,,"Place 9[credit] on this event, then run any server. During that run, hosted credits are considered to be in your credit pool. When that run ends, suffer 1 core damage. This damage cannot be prevented.",,,,Runner,潜袭者,Anarch,反叛者,Event,事件,Run,潜袭,,3,,,,,,0,,,,1,Rachel Borovic
01005,5,Core Set,核心系列,Core Set,核心系列,Cyberfeeder,,"1[recurring-credit]
Use this credit to pay for using <strong>icebreakers</strong> or for installing <strong>virus</strong> programs.",,I feel almost naked without it.,缺了它，我感觉就像浑身赤裸。,Runner,潜袭者,Anarch,反叛者,Hardware,硬件,Chip,芯片,,3,,,,,,2,,,,1,Gong Studios
01006,6,Core Set,核心系列,Core Set,核心系列,Grimoire,黑魔典籍,"+2[mu]
Whenever you install a <strong>virus</strong> program, place 1 virus counter on that program.
Limit 1 <strong>console</strong> per player.","+2[mu]
每当你安装一个<strong>病毒</strong>程序时，放置1枚病毒指示物到该程序上。
每位玩家限制1个<strong>控制台</strong> 。","""My little book of magic spells."" -The Whizzard",“我的小小魔法咒语书。” —魔术师,Runner,潜袭者,Anarch,反叛者,Hardware,硬件,Console,控制台,是,3,,,,,,3,,,,2,Jonathan Lee
01007,7,Core Set,核心系列,Core Set,核心系列,Corroder,腐蚀者,"Interface → <strong>1[credit]:</strong> Break 1 <strong>barrier</strong> subroutine.
<strong>1[credit]:</strong> +1 strength.","对接 → <strong>1[credit]:</strong> 破解1条<strong>屏障</strong>子进程。
<strong>1[credit]:</strong> 强度+1。","""If at first you don't succeed, boost its strength and try again."" -g00ru",“如果第一次没成功，提高强度再试。” —精神0袖,Runner,潜袭者,Anarch,反叛者,Program,程序,Fracter - Icebreaker,分解模块 - 破解器,,3,,,,,,2,2,1,,2,Mike Nesbitt
01008,8,Core Set,核心系列,Core Set,核心系列,Datasucker,,"Whenever you make a successful run on a central server, place 1 virus counter on Datasucker.
<strong>Hosted virus counter:</strong> Rezzed piece of ice currently being encountered has -1 strength until the end of the encounter.",,,,Runner,潜袭者,Anarch,反叛者,Program,程序,Virus,病毒,,3,,,,,,1,,1,,1,Chelsea Conlin
01009,9,Core Set,核心系列,Core Set,核心系列,Djinn,巨灵,"Djinn can host up to 3[mu] of non-<strong>icebreaker</strong> programs.
The memory costs of hosted programs do not count against your memory limit.
[click], 1[credit]: Search your stack for a <strong>virus</strong> program, reveal it, and add it to your grip. Shuffle your stack.","巨灵能被附载最多3[mu]的非<strong>破解器</strong>程序。
所附载的程序的内存费用不计算在你的内存上限中。
[click], 1[credit]: 在你的存储栈搜寻一个<strong>病毒</strong>程序，将其展示，并加入你的操控器。将你的存储栈重洗。",,,Runner,潜袭者,Anarch,反叛者,Program,程序,Daemon,后台,,3,,,,,,2,,1,,2,Mark Anthony Taduran
01010,10,Core Set,核心系列,Core Set,核心系列,Medium,,"Whenever you make a successful run on R&D, place 1 virus counter on this program.
Whenever you breach R&D, choose a number less than the number of hosted virus counters. Access that many additional cards.",,It looked like random packet loss. It wasn't.,看起来就像是偶发的数据包丢失，其实不然。,Runner,潜袭者,Anarch,反叛者,Program,程序,Virus,病毒,,3,,,,,,3,,1,,3,Adam S. Doyle
01011,11,Core Set,核心系列,Core Set,核心系列,Mimic,变脸者,Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.,对接 → <strong>1[credit]:</strong> 破解1条<strong>警报</strong>子进程。,November 5th: the day when all would see the corrupt machinations of the corporate oligarchy.,11月5日这天，所有人将会看到公司寡头们的肮脏阴谋。,Runner,潜袭者,Anarch,反叛者,Program,程序,Icebreaker - Killer,破解器 - 断路模块,,3,,,,,,3,3,1,,1,Ed Mattinian
01012,12,Core Set,核心系列,Core Set,核心系列,Parasite,,"Install only on a rezzed piece of ice.
When your turn begins, place 1 virus counter on this program.
Host ice gets -1 strength for each hosted virus counter.
When the strength of host ice is 0 or less, trash it.",,,,Runner,潜袭者,Anarch,反叛者,Program,程序,Trojan - Virus,木马 - 病毒,,3,,,,,,2,,1,,2,Bruno Balixa
01013,13,Core Set,核心系列,Core Set,核心系列,Wyrm,飞龙,"Interface → <strong>3[credit]:</strong> Break 1 subroutine on a piece of ice with 0 or less strength.
Interface → <strong>1[credit]:</strong> The ice you are encountering gets -1 strength for the remainder of this encounter.
<strong>1[credit]:</strong> +1 strength.","3[credit]: 破解强度等于或小于0的防火墙上的子进程。
1[credit]: 防火墙的强度减1。
1[credit]: 强度+1。",Fire and ichor…,火焰与毒液…,Runner,潜袭者,Anarch,反叛者,Program,程序,AI - Icebreaker,智能模块 - 破解器,,3,,,,,,1,1,1,,2,Sandara Tang
01014,14,Core Set,核心系列,Core Set,核心系列,Yog.0,犹格.0,Interface → <strong>0[credit]:</strong> Break 1 <strong>code gate</strong> subroutine.,0[credit]: 破解<strong>门禁</strong>子进程。,"The Yog.0 database is a crowdsourced compilation of sniffed, spoofed, and logged passkeys. If the key to the gate is in the database, you're in. If it's not, change the gate!",犹格.0数据库是一个含嗅探、欺骗和登入密钥的多来源编译。如果开门的密钥在数据库中，你便可顺利进入。否则，就换一道门吧！,Runner,潜袭者,Anarch,反叛者,Program,程序,Decoder - Icebreaker,解码模块 - 破解器,,3,,,,,,5,3,1,,1,Kate Niemczyk
01015,15,Core Set,核心系列,Core Set,核心系列,Ice Carver,凿墙者,"While you are encountering a piece of ice, it gets −1 strength.",在你遭遇一层防火墙的期间，该防火墙的强度-1。,"In the public consciousness, there's a hard line between corp and runner. In the real world, things are a little more porous. The corps need the best hackers to run their networks, and some of the best hackers are ex-runners who like the idea of a regular paycheck. But sometimes things run the other way, and someone on the inside makes something like this.",在大众意识里，公司与潜袭者之间隔着明显的鸿沟。在真实世界里，情况却有些模糊。公司需要最优秀的黑客来运作他们的网络，其中部分是喜欢固定工资的原潜袭者。但有时情况会发展到另一面，有人从公司内部做出了这样的东西。,Runner,潜袭者,Anarch,反叛者,Resource,资源,Virtual,虚拟,是,3,,,,,,3,,,,3,Mark Anthony Taduran
01016,16,Core Set,核心系列,Core Set,核心系列,Wyldside,狂界酒吧,"When your turn begins, draw 2 cards and lose [click].",当你的回合开始时，补两张卡牌并失去[click]。,"""Best place to go when you want to get your mind out of the gutter and take it inside."" -Ji ""Noise"" Reilly",“当你想让脑袋摆脱一堆破事，然后扎进另一堆破事时，这是最好的去处。” —吉·“噪音”·雷利,Runner,潜袭者,Anarch,反叛者,Resource,资源,Location - Seedy,场所 - 低劣,是,3,,,,,,3,,,,3,Henning Ludvigsen
01017,17,Core Set,核心系列,Core Set,核心系列,Gabriel Santiago: Consummate Professional,,"The first time you make a successful run on HQ each turn, gain 2[credit].",,"""Of course I steal from the rich. They're the ones with all the money.""",“我当然是偷富人的，他们拿了所有的钱。”,Runner,潜袭者,Criminal,逆法者,Runner Identity,潜袭者特性,Cyborg,半机械人,,1,,,0,45,15,,,,,,Ralph Beisner
01018,18,Core Set,核心系列,Core Set,核心系列,Account Siphon,账户虹吸,"Run HQ. If successful, instead of breaching HQ, you may force the Corp to lose up to 5[credit], then you gain 2[credit] for each credit lost and take 2 tags.",对总部进行一次潜袭。如果成功，你可以迫使公司失去最多5[credit]，代替读取卡牌，然后拿取2枚锁定标记，并且公司每失去1信用点你获得2[credit]。,,,Runner,潜袭者,Criminal,逆法者,Event,事件,Run - Sabotage,潜袭 - 破坏,,3,,,,,,0,,,,4,Outland Entertainment LLC
01019,19,Core Set,核心系列,Core Set,核心系列,Easy Mark,,Gain 3[credit].,,"""Hey kid, you fire that up now, bound to be vamped real bad. Some real pathetic individuals around here. But thankfully I got just the ticket…""",“嘿小子，你把他惹火了，很快就会被整得很惨。这周围全是一些可怜虫。不过幸好我搞到了正需要的东西…”,Runner,潜袭者,Criminal,逆法者,Event,事件,Job,工作,,3,,,,,,0,,,,1,Matt Zeilinger
01020,20,Core Set,核心系列,Core Set,核心系列,Forged Activation Orders,伪造激活指令,"Choose 1 unrezzed piece of ice. The Corp may rez that ice. If they do not, they trash it.",选择1层未激活的防火墙。公司可以激活该防火墙。如果其未如此做，则其销毁该防火墙。,"As the hysteria in the room climbed higher up the corporate chain, an uneasy feeling of joblessness began to sink in on the lower rungs.",随着房间里的抓狂情绪向企业链高层传递，一种令人不安的失业恐惧在底下弥漫开来。,Runner,潜袭者,Criminal,逆法者,Event,事件,Sabotage,破坏,,3,,,,,,1,,,,2,Ed Mattinian
01021,21,Core Set,核心系列,Core Set,核心系列,Inside Job,内线操作,"Run any server. The first time you encounter a piece of ice during that run, bypass it.",潜袭任意一台服务器。本次潜袭中你第一次遭遇一层防火墙时，略过该防火墙。,"""Hey, listen, I'm not asking you to do anything dangerous. Just let me into the building. And tell me which room has the weakest security. And please don't say 'the bathroom' again.""",“嘿，听着，我不是要你做什么危险的事情。你只要让我进入大楼。另外告诉我哪个房间的防卫最差。以及请别再说是'厕所'。”,Runner,潜袭者,Criminal,逆法者,Event,事件,Run,潜袭,,3,,,,,,2,,,,3,Clark Huggins
01022,22,Core Set,核心系列,Core Set,核心系列,Special Order,,"Search your stack for an <strong>icebreaker</strong>, reveal it, and add it to your grip. Shuffle your stack.",,"Feverishly tracking its frustratingly slow progress across the Pacific, the package finally shows up hours later…",令人兴奋的包裹，沮丧而缓慢地越过太平洋，最终在几个小时后抵达…,Runner,潜袭者,Criminal,逆法者,Event,事件,,,,3,,,,,,1,,,,2,Kate Niemczyk
01023,23,Core Set,核心系列,Core Set,核心系列,Lemuria Codecracker,雷姆利亚破译机,"[click], 1[credit]: Expose 1 card. Use this ability only if you have made a successful run on HQ this turn.","[click], 1[credit]: 揭示一张卡牌。如果你本回合已对总部进行过成功的潜袭，才能使用本能力。","""A little preparation goes a long way."" -Gabriel Santiago",“稍作准备才能走得长远。” —加布里埃尔·圣地亚哥,Runner,潜袭者,Criminal,逆法者,Hardware,硬件,,,,3,,,,,,1,,,,1,Emerson Tung
01024,24,Core Set,核心系列,Core Set,核心系列,Desperado,亡命徒,"+1[mu]
Gain 1[credit] whenever you make a successful run.
Limit 1 <strong>console</strong> per player.","+1[mu]
每当你进行一次成功的潜袭时，获得1[credit]。
每位玩家限制1个<strong>控制台</strong>。",,,Runner,潜袭者,Criminal,逆法者,Hardware,硬件,Console,控制台,是,3,,,,,,3,,,,3,Outland Entertainment LLC
01025,25,Core Set,核心系列,Core Set,核心系列,Aurora,,"Interface → <strong>2[credit]:</strong> Break 1 <strong>barrier</strong> subroutine.
<strong>2[credit]:</strong> +3 strength.",,,,Runner,潜袭者,Criminal,逆法者,Program,程序,Fracter - Icebreaker,分解模块 - 破解器,,3,,,,,,3,1,1,,1,Adam S. Doyle
01026,26,Core Set,核心系列,Core Set,核心系列,Femme Fatale,蛇蝎美人,"Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>2[credit]:</strong> +1 strength.
When you install this program, choose 1 installed piece of ice.
Whenever you encounter the chosen ice, you may pay 1[credit] for each subroutine it has. If you do, bypass that ice.","对接 → <strong>1[credit]:</strong> 破解1条<strong>警报</strong>子进程。
<strong>2[credit]:</strong> 强度+1。
当你安装本程序时，选择1层已安装的防火墙。
每当你遭遇所选择的防火墙时，你可以支付与该防火墙上子进程数量相等的[credit]。如果你如此做，略过该防火墙。",,,Runner,潜袭者,Criminal,逆法者,Program,程序,Icebreaker - Killer,破解器 - 断路模块,,3,,,,,,9,2,1,,1,Kate Niemczyk
01027,27,Core Set,核心系列,Core Set,核心系列,Ninja,忍者,"Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>3[credit]:</strong> +5 strength.","1[credit]: 破解<strong>警报</strong>子进程。
3[credit]: 强度+5。","You feel Ninja before you see Ninja, if you see Ninja at all.",你会先感觉到忍者才能看到忍者，如果你还能看到的话。,Runner,潜袭者,Criminal,逆法者,Program,程序,Icebreaker - Killer,破解器 - 断路模块,,3,,,,,,4,0,1,,2,Andrew Mar
01028,28,Core Set,核心系列,Core Set,核心系列,Sneakdoor Beta,测试暗门,"[click]<strong>:</strong> Run Archives. If that run would be declared successful, change the attacked server to HQ for the remainder of that run.",[click]<strong>:</strong> 潜袭档案库。如果本次潜袭将要宣告为成功，在本次潜袭的剩余时间内将被攻击的服务器改为总部。,"""The code isn't important. It's where the code takes you that is important."" -g00ru",“代码并不重要，代码会把你带去哪里才是重要的。” —精神0袖,Runner,潜袭者,Criminal,逆法者,Program,程序,,,,3,,,,,,4,,2,,3,Andrew Mar
01029,29,Core Set,核心系列,Core Set,核心系列,Bank Job,,"When you install this resource, load 8[credit] on it. When it is empty, trash it.
Whenever you make a successful run on a remote server, instead of breaching that server, you may take any number of credits from this resource.",,,,Runner,潜袭者,Criminal,逆法者,Resource,资源,Job,工作,,3,,,,,,1,,,,2,Mauricio Herrera
01030,30,Core Set,核心系列,Core Set,核心系列,Crash Space,,"2[recurring-credit]
You can spend hosted credits to take the basic action to remove 1 tag.
[interrupt] → [trash]<strong>:</strong> Prevent up to 3 meat damage.",,"""My roomie, he had a cousin with a college girlfriend whose brother's best friend was an addict, and the addict's mother used to live here. So yeah, there's a connection."" -Lez ""Rockfist"" S.",“我那个室友，他有个表亲的大学女朋友的兄弟的密友是个瘾君子，而这个瘾君子的老妈曾住过这儿。所以没错，的确有些关联。” - 雷兹·“石拳”·S.,Runner,潜袭者,Criminal,逆法者,Resource,资源,Location,场所,,3,,,,,,2,,,,2,Tim Durning
01031,31,Core Set,核心系列,Core Set,核心系列,Data Dealer,,"<strong>[click]</strong>, <strong>forfeit 1 agenda:</strong> Gain 9[credit].",,"Shadier the dealer, better the price. Unless the dealer's too shady. Then there might be a hidden fee after they take your scrip.",越阴暗的商贩，开价越高。但除非太过阴暗的商贩，他们在拿了你的货之后可能会有隐含的附加费用。,Runner,潜袭者,Criminal,逆法者,Resource,资源,Connection - Seedy,人脉 - 低劣,,3,,,,,,0,,,,2,Mauricio Herrera
01032,32,Core Set,核心系列,Core Set,核心系列,Decoy,虚假目标,[interrupt] → [trash]<strong>:</strong> Prevent 1 tag.,[trash]: 避免得到1枚锁定标记。,"""I get the feeling that this is the wrong place, Frank.""
""What makes you say that, D?""
""The curlers.""","“我感觉我们来错地方了，弗兰克。”
“为什么这么说，D？”
“看看卷发夹。”",Runner,潜袭者,Criminal,逆法者,Resource,资源,Connection,人脉,,3,,,,,,1,,,,2,Mauricio Herrera
01033,33,Core Set,核心系列,Core Set,核心系列,"Kate ""Mac"" McCaffrey: Digital Tinker",凯特·“麦克”·麦卡弗瑞: 数字校正师,Lower the install cost of the first program or piece of hardware you install each turn by 1.,每回合你安装的第一个程序或硬件的安装费用减1。,"""Are you listening?""",“你在听吗？”,Runner,潜袭者,Shaper,塑造者,Runner Identity,潜袭者特性,Natural,原生人,,1,,,1,45,15,,,,,,Ralph Beisner
01034,34,Core Set,核心系列,Core Set,核心系列,Diesel,迪燃,Draw 3 cards.,抽3张卡牌。,Diesel gives you flames.,迪燃给你火力。,Runner,潜袭者,Shaper,塑造者,Event,事件,,,,3,,,,,,0,,,,2,Tim Durning
01035,35,Core Set,核心系列,Core Set,核心系列,Modded,,"Install a program or piece of hardware, lowering the install cost by 3.",,"There's no replacement for a home-grown program. Fed on late nights, oaty bars, and single-minded determination. Cheaper, too.",自家创造的程序无可取代。它是在熬夜、麦片条和单纯的决心里培养长大。还有，它很便宜。,Runner,潜袭者,Shaper,塑造者,Event,事件,Mod,改造,,3,,,,,,0,,,,2,Ralph Beisner
01036,36,Core Set,核心系列,Core Set,核心系列,The Maker’s Eye,造物者之眼,"Run R&D. If successful, access 2 additional cards when you breach R&D.",潜袭研发中心。如果成功，当你侵入研发中心时，额外读取2张卡牌。,"""Some of the professionals have good instincts, but they can't see beyond the data. They can't see the matrix."" -Ele ""Smoke"" Scovak",“有些专家有很棒的直觉，但他们却看不透数据，看不到矩阵。” —艾丽·“浓烟”·斯科娃,Runner,潜袭者,Shaper,塑造者,Event,事件,Run,潜袭,,3,,,,,,2,,,,2,Yue Wang
01037,37,Core Set,核心系列,Core Set,核心系列,Tinkering,,"Choose a piece of ice. That ice gains <strong>sentry</strong>, <strong>code gate</strong>, and <strong>barrier</strong> until the end of the turn.",,"""There's that moment, you know, when the whole world seems to fall away and it is only you and your mod, and the mod is the world.""",“你知道，在那一刻，当整个世界除了你和你的改造物之外全都消失不见，你的改造物就是世界。”,Runner,潜袭者,Shaper,塑造者,Event,事件,Mod,改造,,3,,,,,,0,,,,4,Christina Davis
01038,38,Core Set,核心系列,Core Set,核心系列,Akamatsu Mem Chip,,+1[mu],,"The Akamatsu company was founded on three principles: first, to make the fastest mem chips on the market, second, to turn a profit, and third, to serve as a front for the manufacture of illegal neural-stimulants. It is the last principle that perhaps explains their rabid brand loyalty.",赤松公司基于三条原则创立：第一，制造市场上最强劲的芯片；第二，盈利；第三，作为非法的神经仿生体的前端服务商。最后一条原则可能解释了他们强大的品牌忠诚度。,Runner,潜袭者,Shaper,塑造者,Hardware,硬件,Chip,芯片,,3,,,,,,1,,,,1,Outland Entertainment LLC
01039,39,Core Set,核心系列,Core Set,核心系列,Rabbit Hole,,"+1[link]
When Rabbit Hole is installed, you may search your stack for another copy of Rabbit Hole and install it by paying its install cost. Shuffle your stack.",,"It's not endless, it just feels that way.",它并不是无穷无尽，它只是让你有这种感觉。,Runner,潜袭者,Shaper,塑造者,Hardware,硬件,Link,中转器,,3,,,,,,2,,,,1,Mark Anthony Taduran
01040,40,Core Set,核心系列,Core Set,核心系列,The Personal Touch,,"Install The Personal Touch only on an <strong>icebreaker.</strong>
Host <strong>icebreaker</strong> has +1 strength.",,"A z-loop here, a cortical wave there…",这里放个Z循环，那里放个皮层波动…,Runner,潜袭者,Shaper,塑造者,Hardware,硬件,Mod,改造,,3,,,,,,2,,,,2,Bruno Balixa
01041,41,Core Set,核心系列,Core Set,核心系列,The Toolbox,工具箱,"+2[mu] +2[link]
2[recurring-credit]
Use these credits to pay for using <strong>icebreakers</strong>.
Limit 1 <strong>console</strong> per player.","+2[mu], +2[link]
2[recurring-credit]
这些信用点用于支付使用<strong>破解器</strong>。
每位玩家限制1个<strong>控制台</strong>。",,,Runner,潜袭者,Shaper,塑造者,Hardware,硬件,Console,控制台,是,3,,,,,,9,,,,2,Michael Hamlett
01042,42,Core Set,核心系列,Core Set,核心系列,Battering Ram,,"Interface → <strong>2[credit]:</strong> Break up to 2 <strong>barrier</strong> subroutines.
<strong>1[credit]:</strong> +1 strength for the remainder of this run.",,"""It's called 'brute-forcing' and it's just as effective today as it was a hundred years ago."" -Kate ""Mac"" McCaffrey",“这叫'蛮力冲击'，跟百年前一样好用。” —凯特·“麦克”·麦卡弗瑞,Runner,潜袭者,Shaper,塑造者,Program,程序,Fracter - Icebreaker,分解模块 - 破解器,,3,,,,,,5,3,2,,2,Liiga Smilshkalne
01043,43,Core Set,核心系列,Core Set,核心系列,Gordian Blade,戈尔迪之刃,"Interface → <strong>1[credit]:</strong> Break 1 <strong>code gate</strong> subroutine.
<strong>1[credit]:</strong> +1 strength for the remainder of this run.","对接 → <strong>1[credit]:</strong> 破解1条<strong>门禁</strong>子进程。
<strong>1[credit]:</strong> 本次潜袭的剩余时间内强度+1。",It can slice through the thickest knots of data.,它可以切开最繁杂的数据死结。,Runner,潜袭者,Shaper,塑造者,Program,程序,Decoder - Icebreaker,解码模块 - 破解器,,3,,,,,,4,2,1,,3,Mike Nesbitt
01044,44,Core Set,核心系列,Core Set,核心系列,Magnum Opus,,[click]: Gain 2[credit].,,"The Great Work was completed on a rainy Thursday afternoon. There were no seismic shifts, no solar flares, no sign from the earth or heavens that the world had changed. But upstalk in Heinlein, on a single Cybsoft manufactured datacore, the flickering data quantums of an account began to fill with creds. Real, honest-to-goodness UN certified creds.",这个巨作在一个下雨的周四午后完成。没有任何地动山摇，任何耀斑爆发，任何地球或天界的讯号表明世界已改变。然而在上行区的海因莱因，一个数位体公司制造的数据核心里，有个账号闪烁着数据量子，正开始填满信用点。真正的，实实在在的联合国认证信用点。,Runner,潜袭者,Shaper,塑造者,Program,程序,,,,3,,,,,,5,,2,,2,Outland Entertainment LLC
01045,45,Core Set,核心系列,Core Set,核心系列,Net Shield,网盾,"[interrupt] → The first time each turn you would suffer net damage, you may pay 1[credit] to prevent 1 net damage.",1[credit]: 防止本回合的第一点网域伤害。,"Sucks energy like a martian terra-bot, but it keeps you focused",它会像火星地表机器人那样吸取能量，但能使你集中精神。,Runner,潜袭者,Shaper,塑造者,Program,程序,,,,3,,,,,,2,,1,,1,Andrew Mar
01046,46,Core Set,核心系列,Core Set,核心系列,Pipeline,,"Interface → <strong>1[credit]:</strong> Break 1 <strong>sentry</strong> subroutine.
<strong>2[credit]:</strong> +1 strength for the remainder of this run.",,,,Runner,潜袭者,Shaper,塑造者,Program,程序,Icebreaker - Killer,破解器 - 断路模块,,3,,,,,,3,1,1,,1,Matt Zeilinger
01047,47,Core Set,核心系列,Core Set,核心系列,Aesop’s Pawnshop,伊索的典当铺,"When your turn begins, you may trash 1 of your other installed cards. If you do, gain 3[credit].",当你的回合开始时，你可以销毁另1张你已安装的卡牌。如果你如此做，获得3[credit]。,You didn't mention Aesop's arm unless you wanted an earful. Sometimes he talked about it in such a way that you wondered why he didn't laser his other arm off as well.,除非你想听到一堆啰嗦，否则不要提到伊索的手臂。有时他讲得让你疑惑他另一只手臂怎么没有被激光切下来。,Runner,潜袭者,Shaper,塑造者,Resource,资源,Connection - Location,人脉 - 场所,是,3,,,,,,1,,,,2,Adam Schumpert
